a, Determiner, একটি, আ
which, Pronoun | Determiner, কোনটি, হুইচ
while, Conjunction | Noun, যখন বা কিছু সময়, হোয়াইল
white, Adjective | Noun, সাদা, হোয়াইট
who, Pronoun, কে, হু
whole, Adjective | Noun, সম্পূর্ণ, হোল
whom, Pronoun, কাকে, হুম
whose, Pronoun | Determiner, কার, হুজ
why, Adverb | Conjunction, কেন, হোয়াই
wide, Adjective | Adverb, প্রশস্ত, ওয়াইড
wife, Noun, স্ত্রী, ওয়াইফ
will, Helping Verb | Noun, ইচ্ছা বা হবে, উইল
win, Action Verb | Noun, জেতা, উইন
wind, Noun | Action Verb, বাতাস বা দম দেওয়া, উইন্ড
window, Noun, জানালা, উইন্ডো
winning, Action Verb (Present Participle) | Adjective, জিতছে এমন, উইনিং
winter, Noun, শীতকাল, উইন্টার
wise, Adjective, জ্ঞানী, ওয়াইজ
wish, Action Verb | Noun, ইচ্ছা করা, উইশ
with, Preposition, সাথে, উইথ
within, Preposition | Adverb, মধ্যে, উইদিন
without, Preposition | Adverb, ছাড়া, উইদাউট
woman, Noun, নারী বা মহিলা, ওম্যান
women, Noun (Plural), নারীরা, উইমেন
won, Action Verb (Past), জিতেছিল, ওয়ান
wonder, Action Verb | Noun, অবাক হওয়া বা বিস্ময়, ওয়ান্ডার
wonderful, Adjective, চমৎকার, ওয়ান্ডারফুল
wood, Noun, কাঠ, উড
word, Noun | Action Verb, শব্দ, ওয়ার্ড
words, Noun (Plural), শব্দগুলো, ওয়ার্ডস
work, Action Verb | Noun, কাজ করা, ওয়ার্ক
worked, Action Verb (Past), কাজ করেছিল, ওয়ার্কড
worker, Noun, কর্মী, ওয়ার্কার
working, Action Verb (Present Participle), কাজ করছে এমন, ওয়ার্কিং
works, Action Verb (Third Person) | Noun (Plural), কাজ করে বা রচনাবলী, ওয়ার্কস
world, Noun, পৃথিবী, ওয়ার্ল্ড
worry, Action Verb | Noun, চিন্তা করা, ওয়ারি
worse, Adjective | Adverb, আরও খারাপ, ওয়ার্স
worst, Adjective | Adverb, সবচেয়ে খারাপ, ওয়ার্স্ট
worth, Adjective | Noun, যোগ্য বা মূল্য, ওয়ার্থ
would, Helping Verb, করত বা হবে, উড
wouldn't, Helping Verb (Contraction), করত না, উডন্ট
write, Action Verb, লেখা, রাইট
writer, Noun, লেখক, রাইটার
writes, Action Verb (Third Person), লেখে, রাইটস
writing, Action Verb (Present Participle) | Noun, লিখছে এমন বা লেখা, রাইটিং
written, Action Verb (Past Participle) | Adjective, লিখিত, রিটেন
wrong, Adjective | Adverb | Noun, ভুল, রং
wrote, Action Verb (Past), লিখেছিল, রোট
yard, Noun, উঠান বা গজ, ইয়ার্ড
year, Noun, বছর, ইয়ার
years, Noun (Plural), বছরগুলো, ইয়ারস
yellow, Adjective | Noun, হলুদ, ইয়েলো
yes, Adverb | Noun, হ্যাঁ, ইয়েস
yesterday, Adverb | Noun, গতকাল, ইয়েস্টারডে
yet, Adverb | Conjunction, এখনো বা তবুও, ইয়েট
you, Pronoun, তুমি বা আপনি, ইউ
you're, Pronoun (Contraction), তুমি হও, ইউর
young, Adjective | Noun, তরুণ, ইয়াং
your, Determiner, তোমার বা আপনার, ইউর
yours, Pronoun, তোমার বা আপনার, ইউরস
yourself, Pronoun, তুমি নিজে, ইউরসেলফ
yourselves, Pronoun (Plural), তোমরা নিজেরা, ইউরসেলভস
zero, Number, শূন্য, জিরো
zone, Noun | Action Verb, এলাকা বা অঞ্চল, জোন
zoo, Noun, চিড়িয়াখানা, জু


